Sex	HrsSleep	SQpick	Height	RandNumb	Fastest	RtSpan	LftSpan	Form
M	5.00	S	67.000	3	110	21.50	21.50	SorQ
M	7.00	S	75.000	9	109	22.50	22.50	SorQ
M	6.00	S	73.000	7	90	23.50	24.00	SorQ
F	7.50	S	64.000	8	80	20.00	21.00	SorQ
F	7.00	S	63.000	7	75	19.00	19.00	SorQ
F	3.00	S	65.000	2	83	20.50	20.00	SorQ
F	5.00	S	64.000	7	80	20.50	19.00	SorQ
F	9.00	S	68.000	8	100	20.25	20.25	SorQ
M	4.00	S	73.000	10	140	23.00	23.00	SorQ
M	9.00	S	69.000	8	105	24.50	24.50	SorQ
M	8.00	S	70.000	6	150	23.00	23.00	SorQ
F	10.00	S	65.000	9	100	20.00	20.00	SorQ
M	6.00	S	75.000	3	120	26.00	25.50	SorQ
M	10.00	S	69.000	7	110	23.00	23.00	SorQ
F	6.00	S	64.000	4	90	18.00	18.00	SorQ
M	6.00	S	73.000	7	110	21.50	21.00	SorQ
F	6.00	S	68.000	4	75	20.50	20.50	SorQ
M	7.00	S	73.000	7	90	21.50	21.50	SorQ
F	8.00	S	65.000	3	95	22.00	22.00	SorQ
M	8.00	S	71.000	3	115	24.50	24.50	SorQ
F	9.00	S	65.000	1	85	20.00	21.50	SorQ
F	6.50	S	68.000	3	90	21.50	22.50	SorQ
M	8.00	S	72.000	7	95	23.50	24.00	SorQ
F	9.00	S	64.000	7	85	17.00	17.00	SorQ
F	7.00	S	65.000	5	90	16.00	16.00	SorQ
M	7.00	S	70.000	5	145	22.00	22.50	SorQ
F	8.00	S	69.500	6	90	22.00	21.50	SorQ
F	9.00	S	69.000	2	120	22.00	22.00	SorQ
F	5.00	S	64.000	8	85	20.00	20.00	SorQ
M	6.00	S	68.000	7	140	23.50	23.50	SorQ
M	8.00	S	70.000	7	110	22.00	23.00	SorQ
M	7.00	S	70.000	7	105	22.00	22.50	SorQ
M	9.00	S	71.000	3	85	24.50	24.50	SorQ
F	8.00	S	67.000	7	100	20.00	21.00	SorQ
F	7.00	S	63.000	7	120	20.00	20.00	SorQ
F	5.00	S	65.000	8	75	20.00	19.00	SorQ
F	5.00	S	63.000	6	85	21.70	21.50	SorQ
F	7.00	S	64.000	2	80	22.00	21.50	SorQ
F	7.00	S	66.000	4	70	20.00	21.00	SorQ
F	11.00	S	67.500	7	85	21.00	21.00	SorQ
F	6.00	S	69.000	7	110	21.00	22.00	SorQ
F	7.00	S	69.500	7	85	19.00	19.00	SorQ
F	7.00	S	69.000	7	75	21.00	21.50	SorQ
F	6.50	S	65.000	8	105	20.25	20.50	SorQ
F	6.00	S	64.000	10	95	21.00	21.00	SorQ
F	6.00	S	65.000	6	75	22.00	21.50	SorQ
