Share	price	nielsen	discount	promo	time
3.15	2.198	498	1	1	1
2.52	2.186	510	0	0	2
2.64	2.293	422	1	1	3
2.55	2.420	858	0	1	4
2.69	2.179	566	1	0	5
2.38	2.207	536	0	0	6
3.02	2.127	585	1	1	7
2.52	2.206	310	1	0	8
2.45	2.305	211	0	0	9
2.42	2.260	504	0	1	10
3.16	2.205	234	1	1	11
2.60	2.340	347	0	0	12
2.98	2.171	430	1	0	13
2.50	2.201	518	0	1	14
2.45	2.248	465	0	0	15
3.06	2.184	684	1	1	16
2.34	2.373	152	0	0	17
2.88	2.157	453	1	1	18
2.94	2.129	485	1	1	19
2.72	2.557	78	1	0	20
2.27	2.587	72	0	1	21
2.33	2.255	391	0	0	22
2.64	2.124	322	1	0	23
2.76	2.683	317	1	1	24
3.05	2.336	252	1	1	25
2.48	2.266	446	0	1	26
2.23	2.443	521	0	0	27
2.65	2.478	435	1	1	28
2.56	2.394	402	1	0	29
2.66	2.414	468	1	1	30
2.99	2.233	262	1	0	31
2.30	2.302	182	0	1	32
2.88	2.421	145	1	1	33
2.80	2.518	270	1	0	34
2.48	2.497	322	0	1	35
2.85	2.781	317	1	1	36
